stories_id,label
473445460,1
473367759,1
473367487,1
473356117,1
473355832,1
473343582,1
473343548,1
473343444,1
473127524,1
473127118,1
473126983,1
473126239,1
473121665,1
465909037,1
462600670,1
447959242,1
379193509,1
372073573,1
363219239,1
305425184,1
296346164,1
288375742,1
287261678,1
271986641,1
252827894,1
251735089,1
251481163,1
249722262,1
248949185,1
248876785,1
248862383,1
248689742,1
248655582,1
248629942,1
248590130,1
248584083,1
248582884,1
248582558,1
248541772,1
248526842,1
248509435,1
248449367,1
248394491,1
248287587,1
248219736,1
247677052,1
232698614,1
231898862,1
231583298,1
35351410,1
585510545,0
585503448,0
585503447,0
585503445,0
585503339,0
585503333,0
473436168,0
473436165,0
473427203,0
473367791,0
473367506,0
473355972,0
473344424,0
473343692,0
473343671,0
473343615,0
473127651,0
473127578,0
473127392,0
473127382,0
473127199,0
473127153,0
473127014,0
473126970,0
466311567,0
431745068,0
430630414,0
414719983,0
387721541,0
387468905,0
380308402,0
377606707,0
365652797,0
352707172,0
352666115,0
342057305,0
330065942,0
318116434,0
306836295,0
295373972,0
295262100,0
294662835,0
294657370,0
282190491,0
282058696,0
267998759,0
264339610,0
260235822,0
238045878,0
237166021,0
